titre,famille_medicament,cas_utilisation,interraction_substance,grossesse_allaitement_fertilite,effet_indesirable,contre_indication,posologie
CALCIDIA,Médicament de l'hyperphosphorémie,Ce médicament apporte une forte quantité de calcium et possède des propriétés alcalines (qui permettent de contrer l'acidité). Il permet de compenser l'hypocalcémie observée en cas d'insuffisance rénale. Il lutte également contre l'accumulation de phosphore en favorisant son élimination.Il est utilisé dans le traitement préventif et curatif des anomalies osseuses associées à l'insuffisance rénale.,"Respectez un intervalle d'au moins 2 heures (voire 3 heures) entre la prise de ce médicament et celle des cyclines, des diphosphonates et des médicaments contenant du fer.Informez par ailleurs votre pharmacien ou  votre médecin si vous prenez des digitaliques ou des diurétiques.",Ce médicament peut être prescrit par votre médecin pendant la grossesse et l'allaitement.,Exceptionnellement : légers troubles digestifs.,"Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou les urines, avec ou sans lithiase ;immobilisation prolongée.Compte tenu de sa forte teneur en calcium, ce médicament ne doit jamais être utilisé en automédication.En cas d'alitement prolongé, ce médicament ne doit être pris que lors de la reprise de la marche.Des analyses de sang et d'urine régulières peuvent être nécessaires, notamment lorsque ce médicament est associé à la vitamine D, qui facilite son absorption.",
CALCIDOSE,Élément minéral : calcium,"Ce médicament contient une forte quantité de calcium, principal constituant de l'os.Il est utilisé en cas de besoins accrus en calcium (période de croissance, grossesse, allaitement), ou de décalcification osseuse (ostéoporose survenant après la ménopause, traitement au long cours par la cortisone).","Respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes, des médicaments contenant du fer, du zinc ou du strontium.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un médicament contenant de la digoxine ou un diurétique (hydrochlorothazide notamment).Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.",L'apport éventuel de calcium médicamenteux pendant la grossesse ou l'allaitement ne doit pas dépasser 1 500 mg par jour.,"Bouche sèche.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).","Ce médicament ne doit pas être utilisé dans les cas suivants : excès de calcium dans le sang ou dans les urines,lithiase calcique,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement).Des apports excessifs en calcium peuvent être dangereux, notamment en cas d'insuffisance rénale. N'utilisez pas ce médicament sans avis médical.Lorsque ce médicament est destiné à traiter la décalcification osseuse due à une immobilisation prolongée, le traitement ne doit être commencé qu'à la reprise de la marche.Le calcium est parfois associé à la vitamine D, qui favorise son absorption ; des analyses de sang peuvent être prescrites pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.La poudre contient du sucre (saccharose) en quantité notable.","Le contenu des sachets doit être dilué dans un verre d'eau.Posologie usuelle :Adulte : 2 ou 3 sachets par jour.Enfant de 10 à 15 ans : 2 sachets par jour.Enfant de moins de 10 ans : 1 sachet par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIDOSE VITAMINE D,Vitamine D avec calcium,"Ce médicament contient du calcium et de la vitamine D qui facilite l'absorption du calcium par l'intestin et sa fixation sur les os.Il est utilisé :dans le traitement des carences en vitamine D et en calcium chez la personne âgée,dans le traitement d'appoint de l'ostéoporose lorsque l'apport conjoint de calcium et de vitamine D est nécessaire.","En raison de la présence de calcium, respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes ou  des médicaments contenant du fer, du zinc, du strontium ou de l'estramustine.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un anticonvulsivant, un digitalique, un diurétique, de la rifampicine ou de l'orlistat.Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.","Ce médicament peut être utilisé chez la femme enceinte ou chez celle qui allaite, mais la posologie prescrite par le médecin ne doit pas être dépassée.Une hypercalcémie pendant la grossesse pourrait être néfaste pour l'enfant à naître. Veillez à ne pas absorber plusieurs médicaments contenant de la vitamine D pendant la grossesse.","Constipation, nausées, ballonnements, diarrhée, douleur d'estomac.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).Fréquence indéterminée : œème de Quincke.","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines,calculs des voies urinaires contenant du calcium,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement),insuffisance rénale grave (sachet à 500 mg/800 UI).Ce médicament contient de la vitamine D : son surdosage expose à des effets indésirables graves. Elle est présente dans de nombreux médicaments dont certains sont disponibles en automédication : évitez de les associer sans avis médical.Des précautions sont nécessaires en cas de sarcoïdose ou d'insuffisance rénale.Ne prolongez pas le traitement au-delà de la durée prescrite ; une prise de sang peut être nécessaire pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.Lorsque ce médicament est destiné à traiter la décalcification due à un alitement prolongé, le traitement ne doit pas être commencé avant la reprise de la marche.","Ce médicament doit être pris à distance de certains aliments (voir Interactions).Verser le contenu d'un sachet dans un verre, puis ajouter de l'eau et mélanger.Posologie usuelle :Adulte : 2 sachets à 500 mg/400 UI ou 1 sachet à 500 UI/800 UI par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIFORTE,Élément minéral : calcium,"Ce médicament contient une forte quantité de calcium, principal constituant de l'os.Il est utilisé en cas de besoins accrus en calcium (période de croissance, grossesse, allaitement) ou de décalcification osseuse (ostéoporose survenant après la ménopause, traitement au long cours par la cortisone).","Respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes, des médicaments contenant du fer, du zinc ou du strontium.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un médicament contenant de la digoxine ou un diurétique (hydrochlorothazide notamment).Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.",L'apport éventuel de calcium médicamenteux pendant la grossesse ou l'allaitement ne doit pas dépasser 1 500 mg par jour.,"Constipation, ballonnements, nausées.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).","Ce médicament ne doit pas être utilisé dans les cas suivants : excès de calcium dans le sang ou dans les urines,lithiase calcique,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement).Des apports excessifs en calcium peuvent être dangereux, notamment en cas d'insuffisance rénale. N'utilisez pas ce médicament sans avis médical.Lorsque ce médicament est destiné à traiter la décalcification osseuse due à une immobilisation prolongée, il ne doit être pris qu'à la reprise de la marche.Le calcium est parfois associé à la vitamine D, qui favorise son absorption ; des analyses de sang peuvent être prescrites pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.","Les ampoules doivent être agitées avant ouverture, et leur contenu sera dilué dans un peu d'eau.Ce médicament doit être pris au cours des repas.Posologie usuelle :Adulte et enfant de plus de 10 ans : 2 ampoules par jour.Enfant de 6 à 10 ans : 1 ampoule par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIFORTE VITAMINE D3,Vitamine D avec calcium,"Ce médicament contient du calcium et de la vitamine D, qui facilite l'absorption du calcium par l'intestin et sa fixation sur les os.Il est utilisé :dans le traitement des carences en calcium et en vitamine D chez la personne âgée,dans le traitement d'appoint de l'ostéoporose lorsque l'apport conjoint de calcium et de vitamine D est nécessaire.","En raison de la présence de calcium, respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes ou  des médicaments contenant de la ciprofloxacine, de la norfloxacine, du dolutégravir, du fer, du zinc, du strontium ou de l'estramustine.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un anticonvulsivant, un digitalique, un diurétique, de la rifampicine ou de l'orlistat.Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.","Ce médicament peut être utilisé chez la femme enceinte ou chez celle qui allaite, mais la posologie prescrite par le médecin ne doit pas être dépassée.Une hypercalcémie pendant la grossesse pourrait être néfaste pour l'enfant à naître. Veillez à ne pas absorber plusieurs médicaments contenant de la vitamine D pendant la grossesse.","Constipation, nausées, ballonnements, diarrhée, douleur d'estomac, démangeaisons, urticaire.Réaction allergique (présence de protéines de soja).En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie l'arachide ou au soja (présence de protéines de soja),excès de calcium dans le sang ou dans les urines,calculs des voies urinaires contenant du calcium,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement),phénylcétonurie (présence d'aspartam).Ce médicament contient de la vitamine D : son surdosage expose à des effets indésirables graves. Elle est présente dans de nombreux médicaments dont certains sont disponibles en automédication : évitez de les associer sans avis médical.Des précautions sont nécessaires en cas de sarcoïdose ou d'insuffisance rénale.Ne prolongez pas le traitement au-delà de la durée prescrite : une prise de sang peut être nécessaire pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.Lorsque ce médicament est destiné à traiter la décalcification due à un alitement prolongé, le traitement ne doit pas être commencé avant la reprise de la marche.","Ce médicament doit être pris à distance de certains aliments (voir Interactions).Les comprimés peuvent être croqués, sucés ou dissous dans un verre d'eau avant d'être absorbés.Posologie usuelle :Adulte : 1 comprimé, matin et soir.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIPRAT,Élément minéral : calcium,"Ce médicament contient une forte quantité de calcium, principal constituant de l'os.Il est utilisé en cas de besoins accrus en calcium (période de croissance, grossesse, allaitement) ou de décalcification osseuse (ostéoporose survenant après la ménopause, traitement au long cours par la cortisone).","Respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes, des médicaments contenant du fer, du zinc ou du strontium.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un médicament contenant de la digoxine ou un diurétique (hydrochlorothazide notamment).Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.",L'apport éventuel de calcium médicamenteux pendant la grossesse ou l'allaitement ne doit pas dépasser 1 500 mg par jour.,"Constipation, ballonnements, nausées.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines,lithiase calcique,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement),phénylcétonurie (présence d'aspartam).Des apports excessifs en calcium peuvent être dangereux, notamment en cas d'insuffisance rénale. N'utilisez pas ce médicament sans avis médical.Lorsque ce médicament est destiné à traiter la décalcification osseuse due à une immobilisation prolongée, le traitement ne doit pas être commencé avant la reprise de la marche.Le calcium est parfois associé à la vitamine D, qui favorise son absorption ; des analyses de sang peuvent être prescrites pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.","Les comprimés doivent être sucés.Le dosage à 1000 mg ne convient pas à l'enfant de moins de 10 ans.Posologie usuelle :Adulte : 1 à 1,5 g de calcium par jour, soit : 2 ou 3 comprimés à 500 mg, ou 1 à 2 comprimés à 750 mg, ou 1 comprimé à 1000 mg par jour.Enfant : 500 mg à 1 g par jour, soit : 1 ou 2 comprimés à 500 mg, ou 1 comprimé à 750 mg, ou 1 comprimé à 1000 mg par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIPRAT D3,Vitamine D avec calcium,"Ce médicament contient du calcium et de la vitamine D, qui facilite l'absorption du calcium par l'intestin et sa fixation sur les os.Il est utilisé :dans le traitement des carences en calcium et en vitamine D chez la personne âgée,dans le traitement d'appoint de l'ostéoporose lorsque l'apport conjoint de calcium et de vitamine D est nécessaire.","En raison de la présence de calcium, respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes ou  des médicaments contenant du fer, du zinc, du strontium ou de l'estramustine.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un anticonvulsivant, un digitalique, un diurétique, de la rifampicine ou de l'orlistat.Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.","Les comprimés à 500 mg/400 UI peuvent être utilisés chez la femme enceinte ou chez celle qui allaite, mais la posologie prescrite par le médecin ne doit pas être dépassée.Une hypercalcémie pendant la grossesse pourrait être néfaste pour l'enfant à naître. Veillez à ne pas absorber plusieurs médicaments contenant de la vitamine D pendant la grossesse.Compte tenu de leur teneur élevée en vitamine D, les comprimés à 1000 mg/800 UI ne sont pas adaptés à la femme enceinte ou qui allaite.","Constipation ou diarrhée, nausées, ballonnements, douleur d'estomac, démangeaisons, urticaire.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines, avec ou sans lithiase ;immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement) ;enfant de moins de 15 ans (comprimé à 1000 mg/800 UI) ;phénylcétonurie (présence d'aspartam).Ce médicament contient de la vitamine D : son surdosage expose à des effets indésirables graves. Elle est présente dans de nombreux médicaments dont certains sont disponibles en automédication : évitez de les associer sans avis médical.Des précautions sont nécessaires en cas de sarcoïdose ou d'insuffisance rénale.Ne prolongez pas le traitement au-delà de la durée prescrite : une prise de sang peut être nécessaire pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.Lorsque ce médicament est destiné à traiter la décalcification due à un alitement prolongé, le traitement ne doit pas être commencé avant la reprise de la marche.","Ce médicament doit être pris à distance de certains aliments (voir Interactions).Sucer les comprimés, puis avaler un verre d'eau.Posologie usuelle :Adulte : 1 comprimé à 500 mg/400 UI, matin et soir ou 1 comprimé à 1000 mg/800 UI par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIUM TEVA,Élément minéral : calcium,"Ce médicament contient une forte quantité de calcium, principal constituant de l'os.Il est utilisé en cas de besoins accrus en calcium (période de croissance, grossesse, allaitement) ou de décalcification osseuse (ostéoporose survenant après la ménopause, traitement au long cours par la cortisone).","Respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes, des médicaments contenant du fer, du zinc ou du strontium.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un médicament contenant de la digoxine ou un diurétique (hydrochlorothazide notamment).Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.",L'apport éventuel de calcium médicamenteux pendant la grossesse ou l'allaitement ne doit pas dépasser 1 500 mg par jour.,"Constipation, ballonnements, nausées.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines,lithiase calcique,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement),phénylcétonurie (présence d'aspartam).Des apports excessifs en calcium peuvent être dangereux, notamment en cas d'insuffisance rénale. N'utilisez pas ce médicament sans avis médical.Lorsque ce médicament est destiné à traiter la décalcification osseuse due à une immobilisation prolongée, il ne doit être pris qu'à la reprise de la marche.Le calcium est parfois associé à la vitamine D, qui favorise son absorption ; des analyses de sang peuvent être prescrites pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.","Les comprimés doivent être sucés.Posologie usuelle :Adulte : 2 ou 3 comprimés par jour.Enfant de 6 à 10 ans : 1 comprimé par jour.Enfant de 10 à 15 ans : 2 comprimés par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIUM SANDOZ,Élément minéral : calcium,"Ce médicament contient une forte quantité de calcium, principal constituant de l'os.Il est utilisé en cas de besoins accrus en calcium (période de croissance, grossesse, allaitement) ou de décalcification osseuse (ostéoporose survenant après la ménopause, traitement au long cours par la cortisone).Il est également utilisé dans le traitement du rachitisme et de l'ostéomalacie en association avec la vitamine D.","Respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes, des médicaments contenant du fer, du zinc ou du strontium.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un médicament contenant de la digoxine ou un diurétique (hydrochlorothazide notamment).Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.",L'apport éventuel de calcium médicamenteux pendant la grossesse ou l'allaitement ne doit pas dépasser 1 500 mg par jour.,"Peu fréquents : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).Rares : flatulence, constipation, diarrhées, nausées, vomissements, douleurs abdominales, éruption cutanée, démangeaisons, urticaire.Très rares : réaction allergique (choc, œdème).","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines,lithiase calcique,phénylcétonurie (présence d'aspartam).Des apports excessifs en calcium peuvent être dangereux, notamment en cas d'insuffisance rénale. N'utilisez pas ce médicament sans avis médical.Lorsque ce médicament est destiné à traiter la décalcification osseuse due à une immobilisation prolongée, il ne doit être pris qu'à la reprise de la marche.Le calcium est parfois associé à la vitamine D, qui favorise son absorption ; des analyses de sang peuvent être prescrites pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.","Les comprimés effervescents doivent être dissous dans un verre d'eau. Ils peuvent au cours ou en dehors des repas.Posologie usuelle :Adulte : 1 à 3 comprimés par jour.Enfant : 1 à 2 comprimés par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium.Les comprimés effervescents doivent être conservés à l'abri de l'humidité."
CALCIUM VIATRIS,Élément minéral : calcium,"Ce médicament contient une forte quantité de calcium, principal constituant de l'os.Il est utilisé en cas de besoins accrus en calcium (période de croissance, grossesse, allaitement) ou de décalcification osseuse (ostéoporose survenant après la ménopause, traitement au long cours par la cortisone).","Respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes, des médicaments contenant du fer, du zinc ou du strontium.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un médicament contenant de la digoxine ou un diurétique (hydrochlorothazide notamment).Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.",L'apport éventuel de calcium médicamenteux pendant la grossesse ou l'allaitement ne doit pas dépasser 1 500 mg par jour.,"Troubles digestifs.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines,lithiase calcique,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement),phénylcétonurie (présence d'aspartam).Des apports excessifs en calcium peuvent être dangereux, notamment en cas d'insuffisance rénale. N'utilisez pas ce médicament sans avis médical.Lorsque ce médicament est destiné à traiter la décalcification osseuse due à une immobilisation prolongée, il ne doit être pris qu'à la reprise de la marche.Le calcium est parfois associé à la vitamine D, qui favorise son absorption ; des analyses de sang peuvent être prescrites pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.","Les comprimés peuvent être sucés ou croqués, de préférence à distance des repas.Posologie usuelle :Adulte : 2 ou 3 comprimés par jour.Enfant de 10 à 15 ans : 2 comprimés par jour.Enfant de 6 à 10 ans : 1 comprimé par jour.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIUM VITAMINE D3 ARROW,Vitamine D avec calcium,"Ce médicament contient du calcium et de la vitamine D, qui facilite l'absorption du calcium par l'intestin et sa fixation sur les os.Il est utilisé :dans le traitement des carences en calcium et en vitamine D chez la personne âgée,dans le traitement d'appoint de l'ostéoporose lorsque l'apport conjoint de calcium et de vitamine D est nécessaire.","En raison de la présence de calcium, respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes ou  des médicaments contenant du fer, du zinc ou de l'estramustine.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un digitalique, un diurétique ou de l'orlistat.Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.","Ce médicament peut être utilisé chez la femme enceinte ou chez celle qui allaite, mais la posologie prescrite par le médecin ne doit pas être dépassée.Une hypercalcémie pendant la grossesse pourrait être néfaste pour l'enfant à naître. Veillez à ne pas absorber plusieurs médicaments contenant de la vitamine D pendant la grossesse.","Peu fréquents : constipation, nausées, ballonnements, diarrhée, douleur d'estomac, éruption cutanée, démangeaisons, urticaire.Rares : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux), en cas de traitement prolongé à forte dose.Très rares  : œème de Quincke.","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines,calculs des voies urinaires contenant du calcium,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement),phénylcétonurie (présence d'aspartam).Ce médicament contient de la vitamine D : son surdosage expose à des effets indésirables graves. Elle est présente dans de nombreux médicaments dont certains sont disponibles en automédication : évitez de les associer sans avis médical.Des précautions sont nécessaires en cas de sarcoïdose ou d'insuffisance rénale.Ne prolongez pas le traitement au-delà de la durée prescrite : une prise de sang peut être nécessaire pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.Lorsque ce médicament est destiné à traiter la décalcification due à un alitement prolongé, le traitement ne doit pas être commencé avant la reprise de la marche.","Ce médicament doit être pris à distance de certains aliments (voir Interactions).Les comprimés peuvent être  croqués ou sucés.Posologie usuelle :Adulte : 1 comprimé, matin et soir.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
CALCIUM VITAMINE D3 BIOGARAN,Vitamine D avec calcium,"Ce médicament contient du calcium et de la vitamine D, qui facilite l'absorption du calcium par l'intestin et sa fixation sur les os.Il est utilisé :dans le traitement des carences en calcium et en vitamine D chez la personne âgée,dans le traitement d'appoint de l'ostéoporose lorsque l'apport conjoint de calcium et de vitamine D est nécessaire.","En raison de la présence de calcium, respectez un intervalle d'au moins 2 heures entre la prise de ce médicament et celle des cyclines, des biphosphonates, des hormones thyroïdiennes ou  des médicaments contenant du fer, du zinc ou de l'estramustine.Informez par ailleurs votre pharmacien ou votre médecin si vous prenez un anticonvulsivant, un digitalique, un diurétique ou de l'orlistat.Il existe également des interactions alimentaires : les aliments réputés riches en acide oxalique (épinards, rhubarbe, oseille, cacao, thé) ou en acide phytique (chocolat, céréales complètes, légumes secs) peuvent diminuer l'absorption du calcium. Il est donc recommandé de prendre ce médicament à distance de repas contenant ces aliments.","Ce médicament peut être utilisé chez la femme enceinte ou chez celle qui allaite, mais la posologie prescrite par le médecin ne doit pas être dépassée.Une hypercalcémie pendant la grossesse pourrait être néfaste pour l'enfant à naître. Veillez à ne pas absorber plusieurs médicaments contenant de la vitamine D pendant la grossesse.","Constipation, nausées, ballonnements, diarrhée, douleur d'estomac.En cas de traitement prolongé à forte dose : hypercalcémie, hypercalciurie (excès de calcium dans les urines pouvant favoriser les calculs rénaux).Fréquence indéterminée : œème de Quincke.","Ce médicament ne doit pas être utilisé dans les cas suivants :excès de calcium dans le sang ou dans les urines,calculs des voies urinaires contenant du calcium,immobilisation prolongée (attendre la reprise de la marche pour débuter le traitement),phénylcétonurie (présence d'aspartam).Ce médicament contient de la vitamine D : son surdosage expose à des effets indésirables graves. Elle est présente dans de nombreux médicaments dont certains sont disponibles en automédication : évitez de les associer sans avis médical.Des précautions sont nécessaires en cas de sarcoïdose ou d'insuffisance rénale.Ne prolongez pas le traitement au-delà de la durée prescrite : une prise de sang peut être nécessaire pour vérifier l'absence d'accumulation anormale de calcium dans l'organisme.Lorsque ce médicament est destiné à traiter la décalcification due à un alitement prolongé, le traitement ne doit pas être commencé avant la reprise de la marche.","Ce médicament doit être pris à distance de certains aliments (voir Interactions).Les comprimés sont à sucer.Posologie usuelle :Adulte : 1 comprimé, matin et soir.La prise de ce médicament ne dispense pas de la consommation régulière de laitages, naturellement riches en calcium."
